URL;U ID;Public;Derived View;Parent UID;Domain;Type;Name;Description;Visits;Creation Date;Last Update Date (data);Category;Keywords;Downloads;Owner;Contact Email;License;Publication Stage;Published Version Name;Published Version UID;data_provided_by;Every 15 minutes;routing_approval;api_endpoint;Daily;Application;Frequency;source_link;Publishing Department;owner_uid;capabilities;domains.type;supportedQueryFormats;htmlPopupType;copyrightText;geometryType;typeIdField;Spatial Reference wkid;Source;displayField;Department;Dataset Owner;Refresh Method;Contact Information;Departmental Site;Data Dictionary;provenance;fields;isDataVersioned;canModifyLayer;id;currentVersion;minScale;supportsStatistics;supportsCoordinatesQuantization;isUnique;maxRecordCount;supportsDatumTransformation;useStandardizedQueries;supportsAdvancedQueries;isAscending;hasLabels;maxScale
https://data.baltimorecity.gov/d/bm2i-kkw6;bm2i-kkw6;true;false;;data.baltimorecity.gov;dataset;DOT Towing;Cars that are towed within city limits are taken to either the Main Impound Storage Facility located at 6700 Pulaski Highway, or a smaller holding facility at 410 Fallsway. The majority of abandoned vehicles, scofflaw vehicles and cars that are towed as a result of an accident or police activity are taken to the Main Impound Storage Facility. Vehicles that are illegally parked along major city gateways during peak hours (rush hour) are placed at the Fallsway lot for up to 48 hours. If the vehicle is not retrieved from the facility within 48 hours, it is then moved to the Pulaski Highway lot where storage fees may be assessed. Vehicles remaining at the Fallsway facility by the close of business each Friday will also be moved to Pulaski Highway.;56;07/29/2020 10:06:00 PM +0000;09/14/2020 10:00:00 AM +0000;Transportation;vehicle,dot,trasportation,tow,towing,impound,storage;49;Open Baltimore;;Creative Commons Attribution 3.0 Unported;published;;;Department of Transportation;;;https://data.baltimorecity.gov/resource/bm2i-kkw6.json;;;Daily;https://transportation.baltimorecity.gov/;;6r9a-dfdj;;;;;;;;;;;Baltimore City Department of Transportation;Baltimore City DOT;Automated Refresh;OpenBaltimore@baltimorecity.gov;https://transportation.baltimorecity.gov;;official;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/gwz2-hgys;gwz2-hgys;true;true;xviu-ezkt;data.baltimorecity.gov;filter;911 Police Calls for Service 2019_92020;Police Emergency and Non-Emergency calls to 911;1,807;09/11/2020 02:22:00 AM +0000;09/14/2020 05:10:00 PM +0000;Public Safety;911,police,calls for service,emergency,non-emergency;1;Todd;;Creative Commons Attribution 3.0 Unported;published;;;Baltimore Police Department;;;https://data.baltimorecity.gov/resource/gwz2-hgys.json;;;More than once per day;https://www.baltimorepolice.org/;;ah29-kr46;;;;;;;;;;;Police Department;BPD;Automated Refresh;openbaltimore@baltimorecity.gov;https://www.baltimorepolice.org/;;community;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/27fb-d4mk;27fb-d4mk;true;true;wsfq-mvij;data.baltimorecity.gov;map view;trial;"All BPD data on Open Baltimore is preliminary data and subject to change.  The information presented through Open Baltimore represents Part I victim based crime data. The data do not represent statistics submitted to the FBI's Uniform Crime Report (UCR); therefore any comparisons are strictly prohibited. For further clarification of UCR data, please visit http://www.fbi.gov/about-us/cjis/ucr/ucr. Please note that this data is preliminary and subject to change. Prior month data is likely to show changes when it is refreshed on a monthly basis.  All data is geocoded to the approximate latitude/longitude location of the incident and excludes those records for which an address could not be geocoded. Any attempt to match the approximate location of the incident to an exact address is strictly prohibited.";20;06/18/2020 01:52:00 AM +0000;09/08/2020 08:02:00 PM +0000;Public Safety;;1;Marty;;Creative Commons Attribution 3.0 Unported;published;;;Baltimore Police Department;;;https://data.baltimorecity.gov/resource/27fb-d4mk.json;;;Monthly;http://www.baltimorepolice.org/;;7tqr-ekw3;;;;;;;;;;;Police Department;;;;;;community;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/c3ct-6wc5;c3ct-6wc5;true;true;9agw-sxsr;data.baltimorecity.gov;filter;Violetville 311 Requests;;60;05/27/2020 06:09:00 PM +0000;09/14/2020 04:45:00 PM +0000;City Services;311,csr,service request,sr;6;Ashley E.;;Creative Commons Attribution 3.0 Unported;published;;;BCIT;;;https://data.baltimorecity.gov/resource/c3ct-6wc5.json;;;More than once per day;http://www.baltimorecity.gov/OfficeoftheMayor/MayoralOffices/InformationTechnology.aspx;;372z-9w6d;;;;;;;;;;;Information Technology;Open Baltimore;Automated Refresh;openbaltimore@baltimorecity.gov;https://balt311.baltimorecity.gov;;community;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/6jyi-hh7s;6jyi-hh7s;true;true;qqcv-ihn5;data.baltimorecity.gov;filter;Brooklyn Vacants - by date;Vacant Buildings located throughout the City of Baltimore. To be updated twice a month, or as needed.;23;05/09/2020 01:46:00 AM +0000;08/10/2020 09:00:00 AM +0000;Housing & Development;vacant buildings,vacant;4;JEveland;;Creative Commons Attribution 3.0 Unported;published;;;Housing Authority of Baltimore City;;;https://data.baltimorecity.gov/resource/6jyi-hh7s.json;;;;http://www.baltimorehousing.org/default.aspx;;xrtc-hic6;;;;;;;;;;;Baltimore Housing;;;;;;community;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/52se-x8c8;52se-x8c8;true;true;wsfq-mvij;data.baltimorecity.gov;map view;Crime Map 2016;"All BPD data on Open Baltimore is preliminary data and subject to change.  The information presented through Open Baltimore represents Part I victim based crime data. The data do not represent statistics submitted to the FBI's Uniform Crime Report (UCR); therefore any comparisons are strictly prohibited. For further clarification of UCR data, please visit http://www.fbi.gov/about-us/cjis/ucr/ucr. Please note that this data is preliminary and subject to change. Prior month data is likely to show changes when it is refreshed on a monthly basis.  All data is geocoded to the approximate latitude/longitude location of the incident and excludes those records for which an address could not be geocoded. Any attempt to match the approximate location of the incident to an exact address is strictly prohibited.";59;05/08/2020 04:54:00 PM +0000;09/08/2020 08:02:00 PM +0000;Public Safety;;2;Leo;;Creative Commons Attribution 3.0 Unported;published;;;Baltimore Police Department;;;https://data.baltimorecity.gov/resource/52se-x8c8.json;;;Monthly;http://www.baltimorepolice.org/;;5jvs-azve;;;;;;;;;;;Police Department;;;;;;community;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/8ytw-s8uc;8ytw-s8uc;true;true;us2p-bijb;data.baltimorecity.gov;map;Minority and Women's Business Enterprises Certifications Map;It is the policy of the City of Baltimore to promote equal business opportunity in the City's contracting process by encouraging full and equitable participation by minority and women's business enterprises in the provision of goods and services to the City on a contractual basis.;36;05/05/2020 05:31:00 PM +0000;04/03/2014 11:29:00 PM +0000;City Services;;0;Danteh Sema;;Creative Commons Attribution 3.0 Unported;published;;;Law / Minority and Women's Business Opportunity Office;;;https://data.baltimorecity.gov/resource/8ytw-s8uc.json;;;;http://www.baltimorecity.gov/Government/AgenciesDepartments/Law/MinorityandWomensBusinessOpportunityOffice.aspx;;i7mh-s4rq;;;;;;;;;;;Minority and Women-Owned Business Development;;;;;;official;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/84mh-t4ww;84mh-t4ww;true;true;xviu-ezkt;data.baltimorecity.gov;filter;CadCalls_2020;Police Emergency and Non-Emergency calls to 911;66;05/06/2020 12:31:00 AM +0000;09/14/2020 05:10:00 PM +0000;Public Safety;911,police,calls for service,emergency,non-emergency;2;oppoudel;;Creative Commons Attribution 3.0 Unported;published;;;Baltimore Police Department;;;https://data.baltimorecity.gov/resource/84mh-t4ww.json;;;More than once per day;https://www.baltimorepolice.org/;;a5ge-pjpf;;;;;;;;;;;Police Department;BPD;Automated Refresh;openbaltimore@baltimorecity.gov;https://www.baltimorepolice.org/;;community;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/fjmu-2z3n;fjmu-2z3n;true;true;qqcv-ihn5;data.baltimorecity.gov;map;Baltimore City Vacant Buildings Map;Vacant Buildings located throughout the City of Baltimore. To be updated twice a month, or as needed.;586;04/21/2020 06:07:00 PM +0000;08/10/2020 09:00:00 AM +0000;Housing & Development;;0;eabbey;;Creative Commons Attribution 3.0 Unported;published;;;Housing Authority of Baltimore City;;;https://data.baltimorecity.gov/resource/fjmu-2z3n.json;;;;http://www.baltimorehousing.org/default.aspx;;qn77-b7xm;;;;;;;;;;;Baltimore Housing;;;;;;official;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/vuei-w35d;vuei-w35d;true;true;bse9-tznm;data.baltimorecity.gov;chart;HFAI by Baltimore Neighborhood (2010-2012);Most indicators throughout Vital Signs are created by acquiring and analyzing data collected from governmental agencies for some public administration purpose, such as 311 calls or housing inspections. However, data from the United States Bureau of the Census remains the best source for demographic and socioeconomic indicators for neighborhoods. The Census Bureau collects a wide variety of information through administration of both the decennial Census and the annual American Community Survey (ACS).;26;04/20/2020 02:44:00 AM +0000;05/20/2014 03:29:00 PM +0000;Neighborhoods;;2;janmichaelarcher;;Creative Commons Attribution 3.0 Unported;published;;;The Baltimore Neighborhood Indicators Alliance-Jacob France Institute at the University of Baltimore (known as BNIA-JFI);;;https://data.baltimorecity.gov/resource/vuei-w35d.json;;;;http://bniajfi.org;;ssvy-eyd3;;;;;;;;;;;;;;;;;community;;;;;;;;;;;;;;;;
https://data.baltimorecity.gov/d/h4yn-4i5e;h4yn-4i5e;true;true;9qgs-dngv;data.baltimorecity.gov;gis map;CRF;;92;04/30/2020 08:19:00 PM +0000;09/13/2020 06:07:00 PM +0000;Neighborhoods;;0;CRF;;;published;;;The Baltimore Neighborhood Indicators Alliance - Jacob France Institute;;;https://data.baltimorecity.gov/resource/h4yn-4i5e.json;;;Ad hoc;http://www.bniajfi.org/;;bj3h-dc39;;;;;;;;;;;Non-Governmental;Cheryl Knott;Synchronized;cknott@ubalt.edu;http://www.bniajfi.org/;http://bniajfi.org/indicators/all;community;;;;;;;;;;;;;;;;
